"Breed","Species","Sex","ID","From","Origin","Info","Temperament","Hypoallergenic","Good_With_Children","Activity.Level","Life.Expectancy","Size","Name","Height","Weight","Age","Neutered","Pregnancy","Adopted","HomeFoster","RemoteFoster","Caretaker","SpecialConditions"
"Airedale Terrier","Dog","Female","SHD2108","SHELTER","The United Kingdom (England)","Terrier","Courageous","Yes","Yes","Regular","11-14 Years","L","Isaac",82,25,4,"Yes","No","No","Yes","Yes","Yes","-"
"Airedale Terrier","Dog","Female","OWD3671","OWNER","The United Kingdom (England)","Terrier","Intelligent","Yes","Yes","Regular","11-14 Years","L","Keyonna",65,29,4,"Yes","No","No","Yes","Yes","No","-"
"Airedale Terrier","Dog","Male","OWD1492","OWNER","The United Kingdom (England)","Terrier","Confident","Yes","Yes","Regular","11-14 Years","L","Akshay",45,33,1,"Yes","No","No","No","No","Yes","-"
"Airedale Terrier","Dog","Male","OWD3516","OWNER","The United Kingdom (England)","Terrier","Outgoing","Yes","Yes","Regular","11-14 Years","L","Alexia",42,8,2,"No","No","Yes","Yes","No","No","-"
"Akita","Dog","Female","OWD2632","OWNER","Japan","Northern Breed","Docile","No","No","Energetic","10-13 Years","L","Hasan",20,15,10,"Yes","No","No","No","Yes","No","-"
"Akita","Dog","Male","OWD1522","OWNER","Japan","Northern Breed","Dignified","No","No","Energetic","10-13 Years","L","Rumaana",35,21,2,"Yes","No","Yes","Yes","Yes","Yes","-"
"Akita","Dog","Female","SHD3682","SHELTER","Japan","Northern Breed","Courageous","No","No","Energetic","10-13 Years","L","Ivy",80,11,10,"No","Yes","Yes","No","Yes","No","-"
"Akita","Dog","Female","OWD3152","OWNER","Japan","Northern Breed","Friendly","No","No","Energetic","10-13 Years","L","Zayyaan",84,12,6,"Yes","No","Yes","Yes","Yes","Yes","Explanations"
"Alaskan Malamute","Dog","Female","SHD3566","SHELTER","The United States","Northern Breed","Friendly","No","No","Energetic","10-14 Years","L","Chris",28,14,9,"Yes","No","No","No","Yes","No","-"
"Alaskan Malamute","Dog","Female","OWD1317","OWNER","The United States","Northern Breed","Devoted","No","No","Energetic","10-14 Years","L","Dustin",78,11,5,"Yes","No","Yes","No","Yes","No","-"
"Alaskan Malamute","Dog","Male","SHD3969","SHELTER","The United States","Northern Breed","Dignified","No","No","Energetic","10-14 Years","L","Sandy",43,6,1,"No","No","No","No","Yes","No","-"
"Alaskan Malamute","Dog","Male","SHD3914","SHELTER","The United States","Northern Breed","Playful","No","No","Energetic","10-14 Years","L","Nisma",30,22,13,"No","No","Yes","Yes","No","No","-"
"Basset Hound","Dog","Female","OWD3402","OWNER","France","Scenthound","Devoted","No","Yes","Calm","12-13 Years","M","Marina",72,21,10,"Yes","No","No","Yes","Yes","Yes","-"
"Basset Hound","Dog","Female","SHD2828","SHELTER","France","Scenthound","Friendly","No","Yes","Calm","12-13 Years","M","Dewon",74,16,8,"Yes","No","No","No","Yes","Yes","-"
"Basset Hound","Dog","Female","SHD1752","SHELTER","France","Scenthound","Sweet-Tempered","No","Yes","Calm","12-13 Years","M","Kiran",20,24,1,"Yes","No","Yes","No","Yes","No","-"
"Basset Hound","Dog","Male","OWD2727","OWNER","France","Scenthound","Gentle","No","Yes","Calm","12-13 Years","M","Kevin",59,22,11,"No","No","No","Yes","No","No","-"
"Basset Hound","Dog","Male","SHD3497","SHELTER","France","Scenthound","Easy-Going","No","Yes","Calm","12-13 Years","M","Nicole",21,4,1,"Yes","No","No","No","Yes","No","-"
"Bernese Mountain Dog","Dog","Female","OWD1488","OWNER","Switzerland","Guardian Dog","Affectionate","No","Yes","Energetic","7-10 Years","L","Matthew",38,30,8,"Yes","No","No","Yes","Yes","No","-"
"Bernese Mountain Dog","Dog","Male","SHD2013","SHELTER","Switzerland","Guardian Dog","Loyal","No","Yes","Energetic","7-10 Years","L","Jessica",74,18,2,"Yes","No","No","No","Yes","Yes","-"
"Bernese Mountain Dog","Dog","Female","SHD1979","SHELTER","Switzerland","Guardian Dog","Intelligent","No","Yes","Energetic","7-10 Years","L","Cole",74,19,7,"Yes","No","Yes","No","No","No","-"
"Bernese Mountain Dog","Dog","Male","SHD2931","SHELTER","Switzerland","Guardian Dog","Faithful","No","Yes","Energetic","7-10 Years","L","Sadie",25,27,6,"Yes","No","Yes","No","Yes","No","Explanations"
"Bullmastiff","Dog","Female","OWD3692","OWNER","The United Kingdom (England)","Guardian Dog","Powerful","No","No","Energetic","7-9 Years","Giant","Cicely",49,13,1,"Yes","No","No","No","No","Yes","-"
"Bullmastiff","Dog","Female","SHD1942","SHELTER","The United Kingdom (England)","Guardian Dog","Courageous","No","No","Energetic","7-9 Years","Giant","Tayyiba",44,31,1,"Yes","No","No","Yes","Yes","No","-"
"Bullmastiff","Dog","Female","OWD2110","OWNER","The United Kingdom (England)","Guardian Dog","Loyal","No","No","Energetic","7-9 Years","Giant","Robert",57,14,8,"Yes","No","No","No","No","No","-"
"Bullmastiff","Dog","Male","SHD2789","SHELTER","The United Kingdom (England)","Guardian Dog","Docile","No","No","Energetic","7-9 Years","Giant","Yohana",18,26,13,"Yes","No","No","No","Yes","No","-"
"Cairn Terrier","Dog","Female","OWD3084","OWNER","The United Kingdom (Scotland)","Terrier","Hardy","Yes","Yes","Regular","13-15 Years","S","Najuka",21,21,10,"Yes","No","No","No","Yes","No","-"
"Cairn Terrier","Dog","Female","SHD2094","SHELTER","The United Kingdom (Scotland)","Terrier","Intelligent","Yes","Yes","Regular","13-15 Years","S","James",45,21,12,"Yes","No","No","No","Yes","Yes","-"
"Cairn Terrier","Dog","Female","SHD3151","SHELTER","The United Kingdom (Scotland)","Terrier","Assertive","Yes","Yes","Regular","13-15 Years","S","Sierra",66,15,9,"Yes","No","No","No","No","Yes","-"
"Cairn Terrier","Dog","Female","SHD3933","SHELTER","The United Kingdom (Scotland)","Terrier","Fearless","Yes","Yes","Regular","13-15 Years","S","Katherine",51,30,3,"Yes","No","No","No","Yes","No","-"
"Chesapeake Bay Retriever","Dog","Male","SHD3441","SHELTER","The United States","Gun Dog","Intelligent","No","Yes","Energetic","10-13 Years","L","Maurice",86,28,2,"Yes","No","Yes","Yes","Yes","Yes","-"
"Chesapeake Bay Retriever","Dog","Female","SHD1694","SHELTER","The United States","Gun Dog","Happy","No","Yes","Energetic","10-13 Years","L","Christopher",56,17,5,"No","Yes","No","Yes","Yes","No","-"
"Chesapeake Bay Retriever","Dog","Male","OWD3060","OWNER","The United States","Gun Dog","Affectionate","No","Yes","Energetic","10-13 Years","L","Cassmir",53,31,7,"Yes","No","No","Yes","Yes","No","-"
"Chesapeake Bay Retriever","Dog","Male","SHD3166","SHELTER","The United States","Gun Dog","Quiet","No","Yes","Energetic","10-13 Years","L","Meaghan",49,27,10,"Yes","No","No","Yes","Yes","No","-"
"Chihuahua","Dog","Female","OWD2079","OWNER","Mexico","Companion Dog","Devoted","No","No","Regular","14-16 Years","S","Nicole",34,6,12,"Yes","No","Yes","No","Yes","No","-"
"Chihuahua","Dog","Female","SHD1874","SHELTER","Mexico","Companion Dog","Lively","No","No","Regular","14-16 Years","S","Kyla",32,22,2,"Yes","No","Yes","No","Yes","Yes","-"
"Chihuahua","Dog","Male","SHD3849","SHELTER","Mexico","Companion Dog","Courageous","No","No","Regular","14-16 Years","S","Matthew",70,13,9,"Yes","No","No","No","Yes","No","-"
"Chihuahua","Dog","Female","OWD2520","OWNER","Mexico","Companion Dog","Quick","No","No","Regular","14-16 Years","S","India",20,13,13,"Yes","No","No","No","No","No","-"
"Chow Chow","Dog","Female","SHD2481","SHELTER","China","Northern Breed","Quiet","No","No","Regular","8-12 Years","L","Joshua",39,18,9,"No","Yes","No","Yes","Yes","Yes","Explanations"
"Chow Chow","Dog","Male","OWD1415","OWNER","China","Northern Breed","Aloof","No","No","Regular","8-12 Years","L","Traevena",51,27,6,"Yes","No","No","No","No","No","Explanations"
"Chow Chow","Dog","Female","SHD3898","SHELTER","China","Northern Breed","Loyal","No","No","Regular","8-12 Years","L","Shakoora",63,29,4,"Yes","No","No","Yes","Yes","No","-"
"Chow Chow","Dog","Female","OWD2458","OWNER","China","Northern Breed","Independent","No","No","Regular","8-12 Years","L","Jakarah",50,14,4,"Yes","No","Yes","Yes","Yes","No","-"
"Dachshund","Dog","Female","OWD1838","OWNER","Germany","Scenthound","Clever","No","No","Regular","12-16 Years","S","Nisha",58,28,13,"No","Yes","No","Yes","Yes","No","-"
"Dachshund","Dog","Female","OWD3980","OWNER","Germany","Scenthound","Devoted","No","No","Regular","12-16 Years","S","Taylor",89,5,10,"Yes","No","No","Yes","No","No","-"
"Dachshund","Dog","Female","OWD2590","OWNER","Germany","Scenthound","Courageous","No","No","Regular","12-16 Years","S","Amanda",39,8,10,"No","Yes","No","No","Yes","Yes","-"
"Dachshund","Dog","Male","SHD3277","SHELTER","Germany","Scenthound","Lively","No","No","Regular","12-16 Years","S","Austin",44,20,7,"No","No","No","Yes","No","Yes","-"
"Dalmatian","Dog","Female","OWD2136","OWNER","Croatia","Companion Dog","Friendly","No","Yes","Energetic","11-13 Years","L","Teddi",37,33,4,"Yes","No","No","No","Yes","No","-"
"Dalmatian","Dog","Male","OWD2126","OWNER","Croatia","Companion Dog","Energetic","No","Yes","Energetic","11-13 Years","L","Abdul Kader",77,24,10,"Yes","No","No","No","Yes","No","-"
"Dalmatian","Dog","Male","OWD1077","OWNER","Croatia","Companion Dog","Intelligent","No","Yes","Energetic","11-13 Years","L","Devin",15,12,1,"Yes","No","Yes","No","Yes","No","-"
"Dalmatian","Dog","Female","SHD1791","SHELTER","Croatia","Companion Dog","Outgoing","No","Yes","Energetic","11-13 Years","L","Kenya",28,10,6,"No","Yes","No","Yes","Yes","No","-"
"English Setter","Dog","Female","SHD1616","SHELTER","The United Kingdom (England)","Gun Dog","Energetic","No","Yes","Energetic","12 Years","L","Omeed",51,13,6,"Yes","No","No","No","Yes","No","-"
"English Setter","Dog","Male","OWD2674","OWNER","The United Kingdom (England)","Gun Dog","Mischievous","No","Yes","Energetic","12 Years","L","Carlos",69,5,11,"Yes","No","Yes","No","No","No","-"
"English Setter","Dog","Male","OWD2593","OWNER","The United Kingdom (England)","Gun Dog","Intelligent","No","Yes","Energetic","12 Years","L","Matthew",33,20,5,"Yes","No","No","No","Yes","No","Explanations"
"English Setter","Dog","Male","OWD2630","OWNER","The United Kingdom (England)","Gun Dog","Strong Willed","No","Yes","Energetic","12 Years","L","Katherine",76,5,13,"Yes","No","No","No","Yes","No","Explanations"
"Giant Schnauzer","Dog","Male","OWD2142","OWNER","Germany","Guardian Dog","Intelligent","Yes","No","Frenetic","12-15 Years","Giant","Sam",85,28,5,"No","No","No","No","No","No","-"
"Giant Schnauzer","Dog","Male","OWD1030","OWNER","Germany","Guardian Dog","Powerful","Yes","No","Frenetic","12-15 Years","Giant","Amanda",74,33,5,"Yes","No","Yes","Yes","No","No","-"
"Giant Schnauzer","Dog","Female","OWD3423","OWNER","Germany","Guardian Dog","Strong Willed","Yes","No","Frenetic","12-15 Years","Giant","Mariah",89,26,10,"No","Yes","No","Yes","Yes","No","-"
"Giant Schnauzer","Dog","Female","OWD2929","OWNER","Germany","Guardian Dog","Kind","Yes","No","Frenetic","12-15 Years","Giant","Taylor",46,33,11,"Yes","No","Yes","No","No","No","-"
"Golden Retriever","Dog","Male","OWD2730","OWNER","The United Kingdom (Scotland)","Gun Dog","Intelligent","No","Yes","Frenetic","10-12 Years","L","Amanda",60,30,6,"Yes","No","Yes","No","Yes","No","-"
"Golden Retriever","Dog","Male","SHD1819","SHELTER","The United Kingdom (Scotland)","Gun Dog","Friendly","No","Yes","Frenetic","10-12 Years","L","Sara",64,19,11,"Yes","No","No","Yes","Yes","No","-"
"Golden Retriever","Dog","Female","OWD2917","OWNER","The United Kingdom (Scotland)","Gun Dog","Confident","No","Yes","Frenetic","10-12 Years","L","Isabelle",58,8,2,"Yes","No","No","No","Yes","No","-"
"Golden Retriever","Dog","Female","OWD2489","OWNER","The United Kingdom (Scotland)","Gun Dog","Kind","No","Yes","Frenetic","10-12 Years","L","Anmol",53,8,7,"Yes","No","No","Yes","Yes","Yes","-"
"Great Dane","Dog","Male","SHD2602","SHELTER","Germany","Guardian Dog","Friendly","No","Yes","Energetic","7-10 Years","Giant","Jamarian",39,22,6,"No","No","No","Yes","Yes","No","Explanations"
"Great Dane","Dog","Male","OWD3465","OWNER","Germany","Guardian Dog","Gentle","No","Yes","Energetic","7-10 Years","Giant","Laura",75,22,3,"Yes","No","No","No","Yes","No","-"
"Great Dane","Dog","Male","OWD3167","OWNER","Germany","Guardian Dog","Devoted","No","Yes","Energetic","7-10 Years","Giant","Mariyah",33,18,9,"No","No","No","Yes","Yes","Yes","Explanations"
"Great Dane","Dog","Male","SHD2981","SHELTER","Germany","Guardian Dog","Reserved","No","Yes","Energetic","7-10 Years","Giant","Mushtaaq",55,19,10,"Yes","No","No","Yes","Yes","Yes","-"
"Greater Swiss Mountain Dog","Dog","Female","SHD2672","SHELTER","Switzerland","Guardian Dog","Self-Confident","No","Yes","Energetic","8-11 Years","Giant","Kashia",69,21,13,"Yes","No","No","No","No","No","-"
"Greater Swiss Mountain Dog","Dog","Female","SHD1933","SHELTER","Switzerland","Guardian Dog","Good-natured","No","Yes","Energetic","8-11 Years","Giant","Ceara",57,33,13,"Yes","No","No","No","No","No","Explanations"
"Greater Swiss Mountain Dog","Dog","Male","OWD2504","OWNER","Switzerland","Guardian Dog","Devoted","No","Yes","Energetic","8-11 Years","Giant","Billy",24,10,4,"No","No","No","Yes","No","No","-"
"Greater Swiss Mountain Dog","Dog","Female","OWD1634","OWNER","Switzerland","Guardian Dog","Protective","No","Yes","Energetic","8-11 Years","Giant","Maura",17,17,1,"Yes","No","Yes","No","No","No","-"
"Irish Setter","Dog","Male","OWD1066","OWNER","Ireland","Gun Dog","Companionable","No","Yes","Frenetic","12-15 Years","L","Darius",39,17,9,"Yes","No","No","No","Yes","No","Explanations"
"Irish Setter","Dog","Female","SHD3920","SHELTER","Ireland","Gun Dog","Lively","No","Yes","Frenetic","12-15 Years","L","Victoria",77,31,11,"Yes","No","No","No","No","Yes","-"
"Irish Setter","Dog","Female","OWD1443","OWNER","Ireland","Gun Dog","Intelligent","No","Yes","Frenetic","12-15 Years","L","Melanie",33,24,3,"Yes","No","No","Yes","Yes","No","-"
"Irish Setter","Dog","Female","OWD2849","OWNER","Ireland","Gun Dog","Playful","No","Yes","Frenetic","12-15 Years","L","Janae",31,24,1,"Yes","No","No","Yes","No","No","-"
"Irish Wolfhound","Dog","Male","OWD1761","OWNER","Ireland","Sighthound and Pariah","Loyal","No","Yes","Regular","6-8 Years","Giant","Jazmyne",24,33,12,"No","No","No","No","No","No","-"
"Irish Wolfhound","Dog","Female","OWD3976","OWNER","Ireland","Sighthound and Pariah","Patient","No","Yes","Regular","6-8 Years","Giant","Jered",60,6,1,"Yes","No","No","No","Yes","No","-"
"Irish Wolfhound","Dog","Male","SHD1190","SHELTER","Ireland","Sighthound and Pariah","Dignified","No","Yes","Regular","6-8 Years","Giant","Jonathan",75,8,2,"Yes","No","No","Yes","Yes","No","Explanations"
"Irish Wolfhound","Dog","Male","SHD2755","SHELTER","Ireland","Sighthound and Pariah","Generous","No","Yes","Regular","6-8 Years","Giant","Trae",79,9,1,"Yes","No","Yes","No","Yes","Yes","-"
"Italian Greyhound","Dog","Male","SHD3590","SHELTER","Italy","Companion Dog","Companionable","Yes","No","Regular","14-15 Years","S","Hannah",47,13,6,"No","No","No","Yes","Yes","No","Explanations"
